Size, Runtime
10, 8e-07
10, 6e-07
10, 4e-07
10, 4e-07
10, 5e-07
10, 5e-07
10, 4e-07
10, 5e-07
10, 4e-07
10, 1.28e-05
10, 3e-07
10, 7e-07
10, 4e-07
10, 5e-07
10, 4e-07
10, 5e-07
10, 4e-07
10, 5e-07
10, 4e-07
10, 4e-07
10, 5e-07
10, 5e-07
10, 4e-07
10, 4e-07
10, 5e-07
10, 4e-07
10, 5e-07
10, 4e-07
10, 4e-07
10, 4e-07
10, 5e-07
10, 5e-07
10, 4e-07
10, 5e-07
10, 4e-07
10, 3e-07
10, 4e-07
10, 4e-07
10, 4e-07
10, 5e-07
10, 4e-07
10, 8e-07
10, 4e-07
10, 4e-07
10, 4e-07
10, 4e-07
10, 4e-07
10, 4e-07
10, 4e-07
10, 4e-07
100, 9e-07
100, 8e-07
100, 9e-07
100, 8e-07
100, 9e-07
100, 9e-07
100, 8e-07
100, 9e-07
100, 9e-07
100, 9e-07
100, 8e-07
100, 8e-07
100, 8e-07
100, 9e-07
100, 9e-07
100, 9e-07
100, 9e-07
100, 8e-07
100, 9e-07
100, 9e-07
100, 9e-07
100, 9e-07
100, 9e-07
100, 9e-07
100, 8e-07
100, 1e-06
100, 1e-06
100, 8e-07
100, 1e-06
100, 8e-07
100, 9e-07
100, 8e-07
100, 8e-07
100, 1e-06
100, 8e-07
100, 9e-07
100, 9e-07
100, 9e-07
100, 9e-07
100, 9e-07
100, 9e-07
100, 9e-07
100, 9e-07
100, 9e-07
100, 8e-07
100, 7e-06
100, 8e-07
100, 1e-06
100, 1e-06
100, 8e-07
1000, 5.6e-06
1000, 5.5e-06
1000, 5.3e-06
1000, 5.4e-06
1000, 5.2e-06
1000, 5.3e-06
1000, 5.3e-06
1000, 5.3e-06
1000, 5.2e-06
1000, 5.3e-06
1000, 5.3e-06
1000, 5.4e-06
1000, 5.2e-06
1000, 5.4e-06
1000, 5.3e-06
1000, 5.4e-06
1000, 5.4e-06
1000, 5.4e-06
1000, 5.3e-06
1000, 5.2e-06
1000, 5.3e-06
1000, 5.3e-06
1000, 5.3e-06
1000, 5.3e-06
1000, 5.3e-06
1000, 5.4e-06
1000, 5.4e-06
1000, 5.3e-06
1000, 5.5e-06
1000, 5.4e-06
1000, 5.4e-06
1000, 5.4e-06
1000, 5.3e-06
1000, 5.3e-06
1000, 5.3e-06
1000, 5.2e-06
1000, 5.3e-06
1000, 5.3e-06
1000, 5.4e-06
1000, 5.3e-06
1000, 5.3e-06
1000, 5.4e-06
1000, 5.3e-06
1000, 5.3e-06
1000, 5.3e-06
1000, 5.2e-06
1000, 5.2e-06
1000, 5.2e-06
1000, 5.4e-06
1000, 5.3e-06
10000, 6.16e-05
10000, 6.07e-05
10000, 5.95e-05
10000, 8.51e-05
10000, 6.01e-05
10000, 4.99e-05
10000, 4.93e-05
10000, 4.94e-05
10000, 4.93e-05
10000, 4.93e-05
10000, 4.99e-05
10000, 4.94e-05
10000, 4.98e-05
10000, 4.9e-05
10000, 4.91e-05
10000, 5.76e-05
10000, 6.05e-05
10000, 4.98e-05
10000, 4.98e-05
10000, 4.93e-05
10000, 4.97e-05
10000, 4.91e-05
10000, 6.1e-05
10000, 4.99e-05
10000, 6.11e-05
10000, 4.99e-05
10000, 4.98e-05
10000, 6.09e-05
10000, 5.94e-05
10000, 6.04e-05
10000, 4.99e-05
10000, 5.81e-05
10000, 4.92e-05
10000, 6.09e-05
10000, 4.98e-05
10000, 4.98e-05
10000, 4.92e-05
10000, 4.91e-05
10000, 4.99e-05
10000, 4.98e-05
10000, 4.98e-05
10000, 4.97e-05
10000, 4.91e-05
10000, 4.9e-05
10000, 6.08e-05
10000, 4.98e-05
10000, 4.9e-05
10000, 4.93e-05
10000, 7.88e-05
10000, 5e-05
40000, 0.000247
40000, 0.0002075
40000, 0.0001956
40000, 0.0001961
40000, 0.0002072
40000, 0.0002012
40000, 0.0001975
40000, 0.0002051
40000, 0.0002091
40000, 0.0001977
40000, 0.0002154
40000, 0.0001959
40000, 0.0002097
40000, 0.0002165
40000, 0.0002069
40000, 0.0001978
40000, 0.0002065
40000, 0.0001976
40000, 0.0001957
40000, 0.0002042
40000, 0.0001956
40000, 0.0001956
40000, 0.0002159
40000, 0.0001977
40000, 0.0001958
40000, 0.0002476
40000, 0.0001976
40000, 0.0002197
40000, 0.0001975
40000, 0.0001974
40000, 0.0001956
40000, 0.0001954
40000, 0.0001952
40000, 0.0001957
40000, 0.0001955
40000, 0.0001954
40000, 0.000195
40000, 0.0001952
40000, 0.0001955
40000, 0.0001952
40000, 0.0001974
40000, 0.0001959
40000, 0.000196
40000, 0.0001965
40000, 0.0001979
40000, 0.0003158
40000, 0.0002001
40000, 0.000198
40000, 0.0001952
40000, 0.0001952
