Size, Runtime
10, 1.6e-06
10, 1.2e-06
10, 1.4e-06
10, 1.4e-06
10, 1.2e-06
10, 1.4e-06
10, 1.2e-06
10, 9e-07
10, 1.4e-06
10, 1.2e-06
10, 1.1e-06
10, 1.2e-06
10, 1.1e-06
10, 1.4e-06
10, 1.1e-06
10, 1.4e-06
10, 1.1e-06
10, 1.2e-06
10, 1.2e-06
10, 1.1e-06
10, 1.1e-06
10, 1.3e-06
10, 1.2e-06
10, 1.1e-06
10, 1.1e-06
10, 1.3e-06
10, 1.3e-06
10, 1.1e-06
10, 1.2e-06
10, 1.2e-06
10, 1.1e-06
10, 1.2e-06
10, 9e-07
10, 1.4e-06
10, 8e-07
10, 1e-06
10, 1.2e-06
10, 1.2e-06
10, 1.1e-06
10, 4.07e-05
10, 1.2e-06
10, 9e-07
10, 1.3e-06
10, 1.4e-06
10, 1.2e-06
10, 1.2e-06
10, 1.3e-06
10, 9e-07
10, 1e-06
10, 1.3e-06
100, 6.95e-05
100, 6.81e-05
100, 6.68e-05
100, 6.5e-05
100, 6.82e-05
100, 6.79e-05
100, 6.83e-05
100, 6.17e-05
100, 7.07e-05
100, 6.7e-05
100, 7.38e-05
100, 7.81e-05
100, 6.99e-05
100, 7.06e-05
100, 7.14e-05
100, 8.82e-05
100, 7e-05
100, 6.81e-05
100, 6.22e-05
100, 7.92e-05
100, 6.44e-05
100, 7.05e-05
100, 6.73e-05
100, 6.56e-05
100, 7.45e-05
100, 6.34e-05
100, 6.56e-05
100, 7.62e-05
100, 7.86e-05
100, 6.42e-05
100, 6.99e-05
100, 6.34e-05
100, 6.73e-05
100, 6.72e-05
100, 7.16e-05
100, 5.91e-05
100, 6.32e-05
100, 7.42e-05
100, 7.4e-05
100, 7.71e-05
100, 8.09e-05
100, 6.47e-05
100, 8.23e-05
100, 7.45e-05
100, 6.8e-05
100, 7.51e-05
100, 8.11e-05
100, 7.68e-05
100, 8.03e-05
100, 7.73e-05
1000, 0.0074275
1000, 0.0073306
1000, 0.0072736
1000, 0.0070835
1000, 0.0072454
1000, 0.0070964
1000, 0.0069116
1000, 0.0071169
1000, 0.0072333
1000, 0.0073797
1000, 0.0073303
1000, 0.0069102
1000, 0.0075133
1000, 0.0072038
1000, 0.007363
1000, 0.007286
1000, 0.0071179
1000, 0.0072393
1000, 0.0073747
1000, 0.0071295
1000, 0.0069427
1000, 0.0074421
1000, 0.0070795
1000, 0.0073385
1000, 0.0073208
1000, 0.0071718
1000, 0.0069876
1000, 0.0070179
1000, 0.0070184
1000, 0.0073499
1000, 0.0073038
1000, 0.007153
1000, 0.0069957
1000, 0.0069962
1000, 0.0071355
1000, 0.0072204
1000, 0.0074302
1000, 0.0072843
1000, 0.0072872
1000, 0.0071393
1000, 0.0070838
1000, 0.007281
1000, 0.0071022
1000, 0.0072397
1000, 0.007124
1000, 0.0073105
1000, 0.006965
1000, 0.0072754
1000, 0.0074281
1000, 0.0072642
10000, 0.746587
10000, 0.747974
10000, 0.748558
10000, 0.75017
10000, 0.746658
10000, 0.745726
10000, 0.748962
10000, 0.74317
10000, 0.750248
10000, 0.750634
10000, 0.738445
10000, 0.744668
10000, 0.747343
10000, 0.751116
10000, 0.744432
10000, 0.749155
10000, 0.751069
10000, 0.744909
10000, 0.751043
10000, 0.747964
10000, 0.74592
10000, 0.744888
10000, 0.743433
10000, 0.7457
10000, 0.741225
10000, 0.747985
10000, 0.750701
10000, 0.748482
10000, 0.744756
10000, 0.746131
10000, 0.737412
10000, 0.741986
10000, 0.744765
10000, 0.746631
10000, 0.744175
10000, 0.745081
10000, 0.747209
10000, 0.749902
10000, 0.743275
10000, 0.744307
10000, 0.744227
10000, 0.747365
10000, 0.749609
10000, 0.749085
10000, 0.748224
10000, 0.74169
10000, 0.747455
10000, 0.745836
10000, 0.745882
10000, 0.74961
40000, 12.2104
40000, 12.3689
40000, 12.3582
40000, 12.1173
40000, 12.031
40000, 12.3365
40000, 12.0363
40000, 12.0142
40000, 12.0369
40000, 12.0406
40000, 12.0257
40000, 12.0621
40000, 12.0029
40000, 11.9836
40000, 12.0426
40000, 12.1967
40000, 12.1265
40000, 11.9772
40000, 12.0286
40000, 12.0422
40000, 11.9813
40000, 12.0163
40000, 12.0848
40000, 12.0127
40000, 11.9864
40000, 12.0434
40000, 12.0031
40000, 12.1446
40000, 12.0206
40000, 12.007
40000, 12.052
40000, 11.9821
40000, 12.0169
40000, 12.1161
40000, 12.0289
40000, 12.0454
40000, 12.0233
40000, 11.9953
40000, 12.1259
40000, 12.0172
40000, 12.0456
40000, 12.021
40000, 12.0136
40000, 12.0267
40000, 12.1483
40000, 12.0671
40000, 12.0448
40000, 11.9703
40000, 12.0232
40000, 12.0688
