Size, Runtime
10, 1.9e-06
10, 1.6e-06
10, 1.3e-06
10, 1.4e-06
10, 1.3e-06
10, 1.3e-06
10, 1.5e-06
10, 1.5e-06
10, 1.4e-06
10, 1.72e-05
10, 1.4e-06
10, 1.6e-06
10, 1.4e-06
10, 1.3e-06
10, 1.4e-06
10, 1.4e-06
10, 1.3e-06
10, 1.3e-06
10, 1.4e-06
10, 1.5e-06
10, 1.4e-06
10, 1.71e-05
10, 1.3e-06
10, 1.3e-06
10, 1.4e-06
10, 1.3e-06
10, 1.3e-06
10, 1.4e-06
10, 1.3e-06
10, 1.3e-06
10, 1.3e-06
10, 1.3e-06
10, 1.5e-06
10, 1.4e-06
10, 1.4e-06
10, 1.3e-06
10, 1.4e-06
10, 1.4e-06
10, 1.4e-06
10, 1.4e-06
10, 1.3e-06
10, 1.3e-06
10, 1.3e-06
10, 1.2e-06
10, 1.2e-06
10, 1.5e-06
10, 1.3e-06
10, 1.3e-06
10, 1.3e-06
10, 1.3e-06
100, 7.59e-05
100, 7.59e-05
100, 7.58e-05
100, 9.24e-05
100, 9.38e-05
100, 7.57e-05
100, 7.59e-05
100, 8.69e-05
100, 8.34e-05
100, 7.58e-05
100, 7.59e-05
100, 7.57e-05
100, 8.64e-05
100, 7.59e-05
100, 7.57e-05
100, 9.77e-05
100, 7.59e-05
100, 8.36e-05
100, 9.84e-05
100, 0.0001507
100, 0.0003356
100, 0.0001162
100, 0.0001431
100, 7.59e-05
100, 8.94e-05
100, 7.58e-05
100, 9.73e-05
100, 7.59e-05
100, 7.58e-05
100, 7.59e-05
100, 7.57e-05
100, 7.57e-05
100, 7.58e-05
100, 7.59e-05
100, 7.58e-05
100, 7.58e-05
100, 7.57e-05
100, 7.58e-05
100, 0.0003176
100, 0.0001057
100, 0.0001791
100, 0.0001899
100, 0.000114
100, 0.0001698
100, 0.0001811
100, 0.0001078
100, 0.0002384
100, 8.67e-05
100, 8.88e-05
100, 8.71e-05
1000, 0.0075637
1000, 0.0081941
1000, 0.0075762
1000, 0.008044
1000, 0.0080686
1000, 0.0075449
1000, 0.0076215
1000, 0.0079343
1000, 0.0075969
1000, 0.0076439
1000, 0.0075359
1000, 0.0075752
1000, 0.0075441
1000, 0.007549
1000, 0.0075274
1000, 0.0075115
1000, 0.0076895
1000, 0.0077052
1000, 0.0079058
1000, 0.0075288
1000, 0.007516
1000, 0.0076142
1000, 0.0075385
1000, 0.0075604
1000, 0.007696
1000, 0.0076951
1000, 0.0075088
1000, 0.0076477
1000, 0.0075167
1000, 0.0076084
1000, 0.007509
1000, 0.0077802
1000, 0.0075102
1000, 0.0075566
1000, 0.0075043
1000, 0.0075256
1000, 0.0075114
1000, 0.0076902
1000, 0.0075309
1000, 0.00794
1000, 0.0075096
1000, 0.0076417
1000, 0.0075163
1000, 0.0078579
1000, 0.0087353
1000, 0.0076073
1000, 0.009078
1000, 0.0075815
1000, 0.0085458
1000, 0.0081458
10000, 0.780115
10000, 0.766246
10000, 0.76053
10000, 0.767779
10000, 0.767222
10000, 0.755938
10000, 0.782552
10000, 0.769778
10000, 0.768906
10000, 0.771096
10000, 0.768417
10000, 0.754594
10000, 0.782439
10000, 0.770274
10000, 0.767889
10000, 0.768988
10000, 0.770248
10000, 0.762662
10000, 0.786138
10000, 0.767686
10000, 0.769488
10000, 0.768913
10000, 0.755586
10000, 0.768374
10000, 0.768366
10000, 0.783376
10000, 0.767361
10000, 0.769316
10000, 0.764553
10000, 0.759103
10000, 0.768937
10000, 0.762548
10000, 0.776528
10000, 0.778415
10000, 0.763636
10000, 0.761938
10000, 0.789876
10000, 0.769596
10000, 0.784192
10000, 0.76951
10000, 0.767243
10000, 0.757228
10000, 0.769354
10000, 0.767757
10000, 0.756035
10000, 0.780882
10000, 0.769337
10000, 0.767778
10000, 0.768109
10000, 0.769669
40000, 12.312
40000, 12.3122
40000, 12.3137
40000, 12.3086
40000, 12.3199
40000, 12.5078
40000, 13.0702
40000, 12.2845
40000, 14.8875
40000, 12.3528
40000, 12.3908
40000, 12.3598
40000, 12.3596
40000, 12.3455
40000, 12.3799
40000, 12.37
40000, 12.3858
40000, 12.3474
40000, 12.3846
40000, 12.3407
40000, 12.6006
40000, 12.3593
40000, 12.4004
40000, 12.357
40000, 12.3735
40000, 12.3665
40000, 12.3706
40000, 12.387
40000, 12.3615
40000, 12.3651
40000, 12.3704
40000, 12.3611
40000, 12.356
40000, 12.3806
40000, 12.4137
40000, 12.3931
40000, 12.3067
40000, 12.1563
40000, 12.2384
40000, 12.1929
40000, 12.1533
40000, 12.1722
40000, 12.1582
40000, 12.1601
40000, 12.3111
40000, 12.161
40000, 12.1706
40000, 12.1746
40000, 12.1514
40000, 12.2571
