Size, Runtime
10, 1.3e-06
10, 8e-07
10, 1e-06
10, 1e-06
10, 7e-07
10, 9e-07
10, 7e-07
10, 7e-07
10, 8e-07
10, 8e-07
10, 7e-07
10, 8e-07
10, 7e-07
10, 9e-07
10, 7e-07
10, 9e-07
10, 8e-07
10, 2.5e-05
10, 9e-07
10, 7e-07
10, 9e-07
10, 7e-07
10, 7e-07
10, 7e-07
10, 7e-07
10, 7e-07
10, 9e-07
10, 9e-07
10, 8e-07
10, 8e-07
10, 7e-07
10, 7e-07
10, 8e-07
10, 9e-07
10, 7e-07
10, 8e-07
10, 8e-07
10, 7e-07
10, 8e-07
10, 8e-07
10, 8e-07
10, 7e-07
10, 8e-07
10, 1.14e-05
10, 9e-07
10, 8e-07
10, 8e-07
10, 7e-07
10, 7e-07
10, 7e-07
100, 2.42e-05
100, 2.6e-05
100, 2.2e-05
100, 2.43e-05
100, 2.18e-05
100, 2.3e-05
100, 2.3e-05
100, 9.63e-05
100, 4.24e-05
100, 2.1e-05
100, 2.22e-05
100, 2.38e-05
100, 2.33e-05
100, 2.15e-05
100, 2.34e-05
100, 2.32e-05
100, 2.24e-05
100, 2.28e-05
100, 2.65e-05
100, 2.14e-05
100, 4.79e-05
100, 6.62e-05
100, 5.38e-05
100, 3.54e-05
100, 2.29e-05
100, 3.27e-05
100, 2.3e-05
100, 3.48e-05
100, 2.33e-05
100, 4.02e-05
100, 2.58e-05
100, 3.48e-05
100, 2.35e-05
100, 5.54e-05
100, 2.52e-05
100, 2.07e-05
100, 2.42e-05
100, 3.68e-05
100, 2.19e-05
100, 5e-05
100, 2.38e-05
100, 2.32e-05
100, 7.2e-05
100, 2.4e-05
100, 2.28e-05
100, 5.54e-05
100, 3.39e-05
100, 2.25e-05
100, 3.34e-05
100, 4.86e-05
1000, 0.0022321
1000, 0.0021731
1000, 0.0021712
1000, 0.0022156
1000, 0.00219
1000, 0.0024055
1000, 0.0021035
1000, 0.0023198
1000, 0.0022825
1000, 0.0022363
1000, 0.0023143
1000, 0.0021689
1000, 0.0023118
1000, 0.0020623
1000, 0.0021833
1000, 0.0022294
1000, 0.0022256
1000, 0.0022326
1000, 0.0022156
1000, 0.002326
1000, 0.0021265
1000, 0.0022637
1000, 0.0021794
1000, 0.0024063
1000, 0.0021678
1000, 0.0022165
1000, 0.0022631
1000, 0.0022242
1000, 0.0022034
1000, 0.0021812
1000, 0.0022392
1000, 0.0022801
1000, 0.002179
1000, 0.002225
1000, 0.0023629
1000, 0.0023176
1000, 0.0023602
1000, 0.0021935
1000, 0.0022505
1000, 0.0022011
1000, 0.0022209
1000, 0.0023458
1000, 0.0022046
1000, 0.0022381
1000, 0.0020798
1000, 0.002461
1000, 0.002167
1000, 0.0022544
1000, 0.0022231
1000, 0.0022611
10000, 0.224426
10000, 0.236183
10000, 0.223046
10000, 0.231008
10000, 0.219906
10000, 0.220871
10000, 0.21769
10000, 0.220029
10000, 0.220887
10000, 0.224092
10000, 0.217442
10000, 0.218991
10000, 0.221425
10000, 0.221363
10000, 0.220536
10000, 0.219352
10000, 0.219853
10000, 0.220959
10000, 0.223617
10000, 0.220467
10000, 0.219265
10000, 0.217896
10000, 0.219102
10000, 0.220135
10000, 0.218151
10000, 0.220211
10000, 0.220476
10000, 0.217327
10000, 0.25289
10000, 0.219405
10000, 0.21761
10000, 0.21671
10000, 0.22243
10000, 0.217741
10000, 0.220769
10000, 0.219485
10000, 0.220767
10000, 0.220346
10000, 0.219124
10000, 0.219005
10000, 0.218525
10000, 0.221504
10000, 0.221229
10000, 0.218808
10000, 0.221481
10000, 0.218441
10000, 0.219437
10000, 0.220347
10000, 0.218958
10000, 0.220324
40000, 3.53083
40000, 3.52538
40000, 3.53115
40000, 3.53215
40000, 3.53432
40000, 3.52587
40000, 3.54136
40000, 3.50746
40000, 3.54145
40000, 3.54124
40000, 3.50444
40000, 3.53031
40000, 3.52156
40000, 3.5284
40000, 3.56501
40000, 3.60009
40000, 3.51793
40000, 3.50937
40000, 3.53161
40000, 3.50966
40000, 3.54528
40000, 3.51943
40000, 3.51627
40000, 3.54364
40000, 3.72691
40000, 3.66601
40000, 3.64818
40000, 3.65895
40000, 3.55752
40000, 3.52075
40000, 3.5403
40000, 3.51747
40000, 3.54766
40000, 3.6065
40000, 3.53879
40000, 3.53123
40000, 3.5161
40000, 3.5078
40000, 3.52431
40000, 3.54452
40000, 3.51607
40000, 3.52074
40000, 3.53786
40000, 3.51583
40000, 3.52728
40000, 3.50569
40000, 3.52601
40000, 3.52495
40000, 3.52574
40000, 3.52961
