Size, Runtime
10, 1.06e-05
10, 9.1e-06
10, 2.19e-05
10, 8.5e-06
10, 8.4e-06
10, 9.4e-06
10, 8.2e-06
10, 7.9e-06
10, 4.75e-05
10, 9.8e-06
10, 3.09e-05
10, 8.1e-06
10, 8.5e-06
10, 7.4e-06
10, 8.6e-06
10, 9.4e-06
10, 8.3e-06
10, 9.3e-06
10, 7.33e-05
10, 2.48e-05
10, 2.39e-05
10, 3.5e-05
10, 9.8e-06
10, 8.1e-06
10, 8.2e-06
10, 8e-06
10, 8.5e-06
10, 1.05e-05
10, 7.6e-06
10, 8.6e-06
10, 2.76e-05
10, 9.3e-06
10, 8.4e-06
10, 4.79e-05
10, 9.9e-06
10, 2.46e-05
10, 9.4e-06
10, 9.8e-06
10, 8.6e-06
10, 8.8e-06
10, 9.2e-06
10, 9.7e-06
10, 8.1e-06
10, 9.6e-06
10, 7.9e-06
10, 9.2e-06
10, 7.7e-06
10, 7.7e-06
10, 8e-06
10, 9.3e-06
100, 9e-05
100, 0.0001063
100, 9.22e-05
100, 9.29e-05
100, 9.64e-05
100, 9.01e-05
100, 9.03e-05
100, 9.3e-05
100, 9.51e-05
100, 9.55e-05
100, 0.0001168
100, 9.41e-05
100, 9.47e-05
100, 9.09e-05
100, 9e-05
100, 9.43e-05
100, 9.13e-05
100, 9.34e-05
100, 0.0001028
100, 9.94e-05
100, 9.32e-05
100, 9.5e-05
100, 9.22e-05
100, 9.34e-05
100, 9.38e-05
100, 9.14e-05
100, 9.58e-05
100, 8.92e-05
100, 8.95e-05
100, 9.55e-05
100, 9.08e-05
100, 9.56e-05
100, 0.0001022
100, 0.000103
100, 9.45e-05
100, 9.33e-05
100, 8.8e-05
100, 9.83e-05
100, 0.0001039
100, 9.61e-05
100, 9.47e-05
100, 0.0001011
100, 9.44e-05
100, 9.03e-05
100, 9.27e-05
100, 9.61e-05
100, 9.25e-05
100, 9.59e-05
100, 9.06e-05
100, 9e-05
1000, 0.0011183
1000, 0.0011183
1000, 0.0010953
1000, 0.001131
1000, 0.0011316
1000, 0.001103
1000, 0.001093
1000, 0.001112
1000, 0.0011978
1000, 0.0011989
1000, 0.0011094
1000, 0.0011091
1000, 0.0011144
1000, 0.001098
1000, 0.0011296
1000, 0.0011006
1000, 0.0011003
1000, 0.0011009
1000, 0.0011101
1000, 0.001116
1000, 0.0011961
1000, 0.0011062
1000, 0.0010952
1000, 0.0011018
1000, 0.0011077
1000, 0.001257
1000, 0.001127
1000, 0.0011278
1000, 0.0011527
1000, 0.0010973
1000, 0.0011078
1000, 0.0010972
1000, 0.0011016
1000, 0.0010945
1000, 0.0011431
1000, 0.0010921
1000, 0.0011175
1000, 0.0010897
1000, 0.0011298
1000, 0.0011001
1000, 0.0010917
1000, 0.0011135
1000, 0.0011933
1000, 0.0010887
1000, 0.001114
1000, 0.0011128
1000, 0.0010942
1000, 0.0011069
1000, 0.0011151
1000, 0.0010977
10000, 0.0202197
10000, 0.0199824
10000, 0.0199619
10000, 0.0197648
10000, 0.0195712
10000, 0.0196226
10000, 0.0195126
10000, 0.0197103
10000, 0.0194864
10000, 0.0200959
10000, 0.0198579
10000, 0.0196382
10000, 0.0197052
10000, 0.0195587
10000, 0.0198292
10000, 0.019973
10000, 0.0198289
10000, 0.0195098
10000, 0.0195904
10000, 0.0194644
10000, 0.0196535
10000, 0.0197783
10000, 0.0194867
10000, 0.019548
10000, 0.0198121
10000, 0.0196184
10000, 0.0197838
10000, 0.019678
10000, 0.01963
10000, 0.0196628
10000, 0.0198131
10000, 0.0194807
10000, 0.0194747
10000, 0.0198281
10000, 0.0196703
10000, 0.0195222
10000, 0.0197167
10000, 0.0198835
10000, 0.0195583
10000, 0.0195503
10000, 0.0194489
10000, 0.0195744
10000, 0.0195966
10000, 0.0197476
10000, 0.0201627
10000, 0.0195764
10000, 0.0198882
10000, 0.0198357
10000, 0.0197715
10000, 0.019782
40000, 0.164901
40000, 0.163401
40000, 0.16279
40000, 0.162566
40000, 0.163114
40000, 0.162803
40000, 0.164205
40000, 0.165423
40000, 0.175747
40000, 0.163096
40000, 0.176213
40000, 0.163302
40000, 0.164862
40000, 0.176535
40000, 0.162854
40000, 0.16297
40000, 0.164849
40000, 0.176663
40000, 0.164913
40000, 0.17509
40000, 0.162665
40000, 0.165446
40000, 0.173726
40000, 0.163555
40000, 0.163495
40000, 0.165824
40000, 0.174349
40000, 0.163189
40000, 0.162607
40000, 0.163744
40000, 0.166882
40000, 0.171529
40000, 0.162982
40000, 0.16438
40000, 0.162287
40000, 0.16331
40000, 0.167868
40000, 0.172531
40000, 0.163916
40000, 0.163289
40000, 0.162255
40000, 0.163096
40000, 0.164152
40000, 0.163151
40000, 0.162636
40000, 0.162969
40000, 0.16344
40000, 0.162122
40000, 0.164573
40000, 0.162073
