Size, Runtime
10, 1.3e-06
10, 8e-07
10, 9e-07
10, 8e-07
10, 9e-07
10, 8e-07
10, 8e-07
10, 8e-07
10, 8e-07
10, 8e-07
10, 9e-07
10, 9e-07
10, 7e-07
10, 8e-07
10, 9e-07
10, 8e-07
10, 8e-07
10, 8e-07
10, 8e-07
10, 8e-07
10, 8e-07
10, 8e-07
10, 8e-07
10, 8e-07
10, 7e-07
10, 9e-07
10, 9e-07
10, 9e-07
10, 8e-07
10, 9e-07
10, 7e-07
10, 8e-07
10, 8e-07
10, 8e-07
10, 8e-07
10, 8e-07
10, 7e-07
10, 8e-07
10, 8e-07
10, 8e-07
10, 8e-07
10, 7e-07
10, 9e-07
10, 7e-07
10, 8e-07
10, 8e-07
10, 7e-07
10, 9e-07
10, 7e-07
10, 8e-07
100, 4.49e-05
100, 4.76e-05
100, 4.76e-05
100, 3.55e-05
100, 6.14e-05
100, 4.71e-05
100, 3.92e-05
100, 2.45e-05
100, 2.53e-05
100, 2.44e-05
100, 2.44e-05
100, 2.45e-05
100, 2.44e-05
100, 2.46e-05
100, 2.47e-05
100, 2.45e-05
100, 2.44e-05
100, 2.45e-05
100, 2.45e-05
100, 5.91e-05
100, 6.05e-05
100, 2.46e-05
100, 3.49e-05
100, 2.44e-05
100, 2.44e-05
100, 3.26e-05
100, 2.46e-05
100, 2.45e-05
100, 2.44e-05
100, 2.44e-05
100, 2.45e-05
100, 2.44e-05
100, 2.44e-05
100, 2.51e-05
100, 2.45e-05
100, 3.5e-05
100, 2.44e-05
100, 2.44e-05
100, 2.45e-05
100, 2.44e-05
100, 2.44e-05
100, 2.44e-05
100, 2.44e-05
100, 2.44e-05
100, 2.54e-05
100, 2.43e-05
100, 3.22e-05
100, 3.48e-05
100, 2.45e-05
100, 3.51e-05
1000, 0.0022792
1000, 0.0022761
1000, 0.0022694
1000, 0.0023255
1000, 0.0022921
1000, 0.0024084
1000, 0.0024176
1000, 0.00234
1000, 0.002417
1000, 0.0022774
1000, 0.0022684
1000, 0.0023262
1000, 0.0022697
1000, 0.0022684
1000, 0.0022812
1000, 0.00227
1000, 0.0022875
1000, 0.0022773
1000, 0.0022765
1000, 0.0022981
1000, 0.0022957
1000, 0.0023028
1000, 0.0022682
1000, 0.0024257
1000, 0.0023109
1000, 0.0022935
1000, 0.0022699
1000, 0.0023008
1000, 0.002286
1000, 0.0023006
1000, 0.0024188
1000, 0.0022979
1000, 0.0022867
1000, 0.0022816
1000, 0.0024535
1000, 0.0022776
1000, 0.0023091
1000, 0.002306
1000, 0.0022699
1000, 0.002271
1000, 0.0023029
1000, 0.0022695
1000, 0.0024483
1000, 0.0024166
1000, 0.0022864
1000, 0.0024571
1000, 0.0022965
1000, 0.0022837
1000, 0.0023149
1000, 0.0023197
10000, 0.227705
10000, 0.226966
10000, 0.227326
10000, 0.228117
10000, 0.226657
10000, 0.226761
10000, 0.22749
10000, 0.227063
10000, 0.227674
10000, 0.226907
10000, 0.227863
10000, 0.226838
10000, 0.226767
10000, 0.226784
10000, 0.227352
10000, 0.227027
10000, 0.226989
10000, 0.226889
10000, 0.226754
10000, 0.227361
10000, 0.227494
10000, 0.226913
10000, 0.226791
10000, 0.22704
10000, 0.227209
10000, 0.226753
10000, 0.227647
10000, 0.226989
10000, 0.227176
10000, 0.226582
10000, 0.226898
10000, 0.226635
10000, 0.227305
10000, 0.227179
10000, 0.227471
10000, 0.226879
10000, 0.226758
10000, 0.227173
10000, 0.227822
10000, 0.227135
10000, 0.227147
10000, 0.228263
10000, 0.227264
10000, 0.227384
10000, 0.227061
10000, 0.226985
10000, 0.227884
10000, 0.227906
10000, 0.226912
10000, 0.22662
40000, 3.65013
40000, 3.65016
40000, 3.64867
40000, 3.66285
40000, 3.6469
40000, 3.64953
40000, 3.64737
40000, 3.64991
40000, 3.64899
40000, 3.65031
40000, 3.64868
40000, 3.65099
40000, 3.64564
40000, 3.64599
40000, 3.64734
40000, 3.64931
40000, 3.64952
40000, 3.64949
40000, 3.64847
40000, 3.65146
40000, 3.66234
40000, 3.64621
40000, 3.64848
40000, 3.64841
40000, 3.65176
40000, 3.65241
40000, 3.65034
40000, 3.64758
40000, 3.65264
40000, 3.65357
40000, 3.64648
40000, 3.6473
40000, 3.64831
40000, 3.64923
40000, 3.64933
40000, 3.64769
40000, 3.66541
40000, 3.64545
40000, 3.64873
40000, 3.64707
40000, 3.64562
40000, 3.64915
40000, 3.65062
40000, 3.64945
40000, 3.64679
40000, 3.64738
40000, 3.64711
40000, 3.65003
40000, 3.64799
40000, 3.64704
